target,lane,format,case_id,prompt_tokens,n_predict,draft_max,decode_tps_median,decode_tps_mad,prompt_ms_median,http_e2e_ms_median,drafted_total,accepted_total,acceptance_rate,bf16_decode_ratio,off_decode_ratio,tokens_equal_bf16_mtp,tokens_equal_off
gfx1030,fixed,bf16,coding-p128-g128-w1,128,128,1,29.7403689210803,0.013226635741862225,594.887,4866.353303,213,165,0.7746478873239436,1.0,1.4635523582707497,True,True
gfx1030,fixed,bf16,coding-p2048-g128-w1,2048,128,1,30.667165390437688,0.014233811642757388,5937.061,10077.369731,204,174,0.8529411764705882,1.0,1.5273902459579105,True,False
gfx1030,fixed,bf16,coding-p8192-g128-w1,8192,128,1,28.835358052273737,0.003142251084348402,24595.641,29005.473886,213,165,0.7746478873239436,1.0,1.4714226843447846,True,True
gfx1030,fixed,bf16,coding-p128-g128-w2,128,128,2,32.58109485819015,0.02510624817193019,588.583,4489.487353,333,210,0.6306306306306306,1.0,1.6033472328901794,True,True
gfx1030,fixed,bf16,coding-p2048-g128-w2,2048,128,2,34.612459013534014,0.03227290034736541,5901.92,9573.370566,312,222,0.7115384615384616,1.0,1.723887148121429,True,False
gfx1030,fixed,bf16,coding-p8192-g128-w2,8192,128,2,33.580942101431894,0.02529600728267667,24646.762,28433.418564,315,222,0.7047619047619048,1.0,1.7135823276458146,True,False
gfx1030,fixed,bf16,coding-p128-g128-w4,128,128,4,26.751068041657522,0.009351401578257423,587.879,5341.114311,564,237,0.42021276595744683,1.0,1.3164459668446842,True,False
gfx1030,fixed,bf16,coding-p2048-g128-w4,2048,128,4,27.035162315282783,0.001179850702900609,5911.092,10612.230825,549,240,0.4371584699453552,1.0,1.34649690287735,True,False
gfx1030,fixed,bf16,coding-p8192-g128-w4,8192,128,4,26.313548514620905,0.24938140842071022,24487.835,29319.174675,546,243,0.44505494505494503,1.0,1.3427387348487314,True,False
gfx1030,fixed,bf16,coding-p2048-g512-w2,2048,512,2,34.61508265180797,0.012645552375012414,6020.086,20783.063821,1281,891,0.6955503512880562,1.0,1.719236048512869,True,False
gfx1030,fixed,bf16,ja-reasoning-p2048-g256-w2,2048,256,2,31.295662519357286,0.09931183175913105,6014.526,14165.01871,693,414,0.5974025974025974,1.0,1.5563305970696952,True,False
gfx1030,fixed,bf16,en-prose-p2048-g256-w2,2048,256,2,34.201556613434285,0.027426153548084642,6021.264,13473.646742,645,441,0.6837209302325581,1.0,1.6999768368281285,True,False
gfx1030,fixed,q8_0,coding-p128-g128-w1,128,128,1,30.5721100990753,0.003834769847795627,591.022,4745.954784,213,165,0.7746478873239436,1.0279667404329156,1.504483147184489,True,True
gfx1030,fixed,q8_0,coding-p2048-g128-w1,2048,128,1,31.48618512637241,0.08613375603711404,5826.015,9923.531923,204,174,0.8529411764705882,1.0267067309778197,1.5681818463548542,True,False
gfx1030,fixed,q8_0,coding-p8192-g128-w1,8192,128,1,29.216249940187208,0.022896810860103756,23690.027,28039.757817,216,162,0.75,1.0132091957111466,1.4908589945561157,True,True
gfx1030,fixed,q8_0,coding-p128-g128-w2,128,128,2,33.7138664336251,0.008558182151681137,590.928,4359.72007,333,210,0.6306306306306306,1.0347677565890698,1.6590920192110639,True,True
gfx1030,fixed,q8_0,coding-p2048-g128-w2,2048,128,2,35.8314331388279,0.04062506994183224,5782.967,9325.647874,312,222,0.7115384615384616,1.0352177845791668,1.7845986343427638,True,False
gfx1030,fixed,q8_0,coding-p8192-g128-w2,8192,128,2,34.56838647564957,0.24856000138262146,23641.886,27321.005132,315,222,0.7047619047619048,1.0294049038658617,1.7639700512564793,True,False
